disease_associates,gene_associates,prior_perm,prior_perm_stderr,n_associations,n_possible
235,18,0.334946,0.000785243,0,1
235,17,0.317505,0.000447295,1,3
235,16,0.299016,0.000253027,3,9
235,15,0.280747,0.000249033,1,9
235,14,0.263315,0.000258593,3,8
235,13,0.244745,0.000163054,3,19
235,12,0.22644,0.000172778,3,16
235,11,0.20762,0.000139568,5,23
235,10,0.188828,0.000124338,7,27
235,9,0.170253,0.000114947,4,29
235,8,0.151098,9.07641e-05,4,42
235,7,0.132211,6.19696e-05,10,79
235,6,0.113192,5.1193e-05,9,101
235,5,0.0940854,3.95537e-05,17,142
235,4,0.0750816,2.69548e-05,14,243
235,3,0.0561703,1.71881e-05,30,439
235,2,0.0373331,8.87391e-06,35,1039
235,1,0.0185967,3.42709e-06,61,3114
222,47,0.703873,0.000759582,1,1
222,46,0.695782,0.000765451,0,1
222,40,0.633407,0.000801718,0,1
222,39,0.622282,0.000806614,0,1
222,37,0.598834,0.000815462,0,1
222,35,0.573653,0.000822801,1,1
222,34,0.56059,0.000825745,0,1
222,33,0.548604,0.000827936,1,1
222,31,0.519985,0.000831211,0,1
222,30,0.506632,0.000831802,1,1
222,28,0.477061,0.000830999,0,1
222,27,0.463098,0.00041448,2,4
222,26,0.449422,0.000336764,3,6
222,25,0.433215,0.000824421,0,1
222,24,0.418074,0.000365496,1,5
222,22,0.386727,0.000467167,2,3
222,21,0.37075,0.000302183,3,7
222,20,0.354148,0.000397505,1,4
222,19,0.337254,0.000277352,2,8
222,18,0.321385,0.000776986,0,1
222,17,0.302921,0.000441071,1,3
222,16,0.286007,0.000249224,3,9
222,15,0.268753,0.000244711,5,9
222,14,0.250561,0.000253868,1,8
222,13,0.233165,0.000160157,2,19
222,12,0.215121,0.000169779,3,16
222,11,0.197215,0.000136654,8,23
222,10,0.179371,0.000121706,2,27
222,9,0.16105,0.000112604,6,29
222,8,0.143075,8.87224e-05,3,42
222,7,0.124906,6.05553e-05,6,79
222,6,0.106814,4.98878e-05,15,101
222,5,0.0887764,3.8569e-05,16,142
222,4,0.070693,2.62463e-05,22,243
222,3,0.0528852,1.6745e-05,21,439
222,2,0.0350819,8.61922e-06,33,1039
222,1,0.0174539,3.33254e-06,57,3114
213,47,0.6939,0.000766776,1,1
213,46,0.685535,0.000772484,0,1
213,40,0.621958,0.00080675,1,1
213,39,0.611628,0.000810879,0,1
213,37,0.585865,0.000819517,1,1
213,35,0.561993,0.000825456,1,1
213,34,0.550058,0.000827696,1,1
213,33,0.535105,0.000829823,0,1
213,31,0.508899,0.000831744,1,1
213,30,0.495427,0.000831841,1,1
213,28,0.466792,0.000830039,1,1
213,27,0.45229,0.000413422,1,4
213,26,0.437239,0.000336312,3,6
213,25,0.423242,0.000822014,0,1
213,24,0.406408,0.000364244,3,5
213,22,0.375448,0.000464357,2,3
213,21,0.359365,0.000300325,3,7
213,20,0.343144,0.00039504,1,4
213,19,0.326686,0.000274975,2,8
213,18,0.310009,0.000769479,0,1
213,17,0.292838,0.000436103,2,3
213,16,0.276336,0.000247098,4,9
213,15,0.259148,0.000241957,0,9
213,14,0.242578,0.000251146,3,8
213,13,0.225149,0.000157875,2,19
213,12,0.207577,0.000167764,1,16
213,11,0.190147,0.000134882,3,23
213,10,0.172597,0.000119815,3,27
213,9,0.154958,0.000110754,8,29
213,8,0.137227,8.71813e-05,6,42
213,7,0.119852,5.93682e-05,12,79
213,6,0.102449,4.89997e-05,11,101
213,5,0.0850268,3.77745e-05,16,142
213,4,0.0677582,2.57028e-05,20,243
213,3,0.0505922,1.64223e-05,15,439
213,2,0.033541,8.45086e-06,36,1039
213,1,0.0166714,3.25848e-06,48,3114
200,47,0.679722,0.000776279,1,1
200,46,0.670117,0.000782247,0,1
200,40,0.606407,0.000812819,1,1
200,39,0.59379,0.000817109,1,1
200,37,0.568756,0.000823973,1,1
200,35,0.545795,0.000828379,1,1
200,34,0.529973,0.000830379,0,1
200,33,0.518239,0.000831322,1,1
200,31,0.490982,0.00083174,0,1
200,30,0.478858,0.000831131,0,1
200,28,0.451238,0.00082791,0,1
200,27,0.434793,0.000410834,0,4
200,26,0.420274,0.000333604,3,6
200,25,0.404948,0.000816705,0,1
200,24,0.389638,0.000361175,2,5
200,22,0.358104,0.000459907,0,3
200,21,0.343384,0.000296896,3,7
200,20,0.327304,0.000389634,1,4
200,19,0.311838,0.000271882,5,8
200,18,0.294187,0.000758132,0,1
200,17,0.27896,0.000430442,0,3
200,16,0.262847,0.000242522,0,9
200,15,0.246178,0.000238425,3,9
200,14,0.228879,0.000246382,2,8
200,13,0.212867,0.000154743,5,19
200,12,0.195887,0.000164223,2,16
200,11,0.179359,0.000131815,4,23
200,10,0.162622,0.000117078,4,27
200,9,0.1459,0.000107863,3,29
200,8,0.129266,8.49237e-05,10,42
200,7,0.112676,5.78771e-05,6,79
200,6,0.0961417,4.76297e-05,6,101
200,5,0.0797173,3.66673e-05,14,142
200,4,0.0634611,2.49675e-05,25,243
200,3,0.0472778,1.59094e-05,18,439
200,2,0.031315,8.16752e-06,29,1039
200,1,0.0155517,3.15302e-06,49,3114
196,47,0.674498,0.00077957,1,1
196,46,0.663731,0.00078601,1,1
196,40,0.600157,0.000815015,1,1
196,39,0.587252,0.000819111,0,1
196,37,0.563306,0.000825181,0,1
